Country;Code;15vol;32vol;38vol
Schweden;SWE;5,24;11,19;13,29
Finnland;FIN;5,02;10,72;12,73
Groﬂbritanien;GBR;4,47;9,54;11,32
Belgien;BEL;3,44;7,34;8,71
Griechenland;GRC;3,14;6,7;7,96
Estland;EST;2,68;5,71;6,78
D‰nemark;DNK;2,63;5,62;6,67
Frankreich;Frau;2,11;4,51;5,36
Niederlande;NLD;1,77;3,78;4,48
Litauen;LTU;1,75;3,73;4,43
Lettland;LVA;1,75;3,74;4,44
Malta;MLT;1,47;3,14;3,72
Portugal;PRT;1,46;3,11;3,69
Polen;POL;1,4;2,98;3,54
Slowenien;SVN;1,39;2,96;3,51
Deutschland;DEU;1,37;2,92;3,47
÷sterreich;AUT;1,26;2,69;3,19
Tschechien;CZE;1,17;2,49;2,96
Slowakei;SVK;1,13;2,42;2,87
Ungarn;HUN;1,1;2,36;2,8
Luxemburg;LUX;1,09;2,33;2,77
Italien;ITA;1,09;2,32;2,76
Spanien;ESP;1,01;2,15;2,55
Zypern;CYP;1;2,14;2,55
Rum‰nien;ROU;0,75;1,6;1,9
Kroatien;HRV;0,75;1,61;1,91
Bulgarien;BGR;0,59;1,26;1,49
